cod_resultado_fatec;codcursofatec;cod_curso;nome_curso;codfatec;cod_instituicao;instituicao;ano;semestre;periodo;qtde_vagas;qtde_inscrito;demanda;nota_corte;nota_maxima
0;94;0;Gestão da Produção Industrial;54;0;Fatec Diadema - Luigi Papaiz;2022;2;NOITE;0;0;0;56,500;88,275
0;194;0;Análise e Desenvolvimento de Sistemas;69;0;Fatec Ferraz de Vasconcelos;2022;2;MANHÃ;0;0;0;66,953;83,875
0;94;0;Gestão da Produção Industrial;69;0;Fatec Ferraz de Vasconcelos;2022;2;NOITE;0;0;0;48,308;88,550
0;194;0;Análise e Desenvolvimento de Sistemas;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;MANHÃ;0;0;0;64,625;95,150
0;194;0;Análise e Desenvolvimento de Sistemas;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;NOITE;0;0;0;75,075;95,150
0;275;0;Desenvolvimento de Software Multiplataforma;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;NOITE;0;0;0;72,600;92,950
0;94;0;Gestão da Produção Industrial;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;NOITE;0;0;0;48,025;86,445
0;94;0;Gestão da Produção Industrial;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;MANHÃ;0;0;0;33,990;80,025
0;224;0;Gestão de Recursos Humanos;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;NOITE;0;0;0;55,825;96,250
0;224;0;Gestão de Recursos Humanos;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;MANHÃ;0;0;0;37,927;89,250
0;245;0;Gestão Empresarial;43;0;Fatec Franca - Dr. Thomaz Novelino;2022;2;EAD;0;0;0;70,675;88,550
0;97;0;Gestão da Tecnologia da Informação;70;0;Fatec Franco da Rocha;2022;2;NOITE;0;0;0;67,650;96,250
0;264;0;Gestão de Energia e Eficiência Energética;70;0;Fatec Franco da Rocha;2022;2;NOITE;0;0;0;34,100;85,315
0;194;0;Análise e Desenvolvimento de Sistemas;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;NOITE;0;0;0;59,500;84,425
0;194;0;Análise e Desenvolvimento de Sistemas;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;MANHÃ;0;0;0;42,350;80,513
0;245;0;Gestão Empresarial;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;EAD;0;0;0;50,250;74,015
0;245;0;Gestão Empresarial;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;MANHÃ;0;0;0;38,138;73,150
0;245;0;Gestão Empresarial;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;NOITE;0;0;0;40,115;73,733
0;0;0;Manufatura Avançada;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;MANHÃ;0;0;0;0;0
0;0;0;Mecatrônica Industrial;15;0;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;NOITE;0;0;0;34,925;80,795
0;194;0;Análise e Desenvolvimento de Sistemas;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;TARDE;0;0;0;61,875;96,615
0;186;0;Gestão Comercial;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;NOITE;0;0;0;40,700;77,825
0;94;0;Gestão da Produção Industrial;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;NOITE;0;0;0;48,750;100,000
0;97;0;Gestão da Tecnologia da Informação;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;NOITE;0;0;0;64,410;100,000
0;245;0;Gestão Empresarial;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;EAD;0;0;0;64,075;90,125
0;245;0;Gestão Empresarial;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;NOITE;0;0;0;60,775;98,725
0;187;0;Gestão Financeira;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;NOITE;0;0;0;44,635;85,250
0;179;0;Logística;8;0;Fatec Guaratinguetá - Prof. João Mod;2022;2;NOITE;0;0;0;52,800;89,100
0;194;0;Análise e Desenvolvimento de Sistemas;31;0;Fatec Guarulhos;2022;2;TARDE;0;0;0;67,375;88,000
0;274;0;Comércio Exterior;31;0;Fatec Guarulhos;2022;2;MANHÃ;0;0;0;48,153;92,125
0;94;0;Gestão da Produção Industrial;31;0;Fatec Guarulhos;2022;2;NOITE;0;0;0;60,173;88,275
0;245;0;Gestão Empresarial;31;0;Fatec Guarulhos;2022;2;EAD;0;0;0;72,875;91,530
0;179;0;Logística;31;0;Fatec Guarulhos;2022;2;TARDE;0;0;0;37,855;82,500
0;179;0;Logística;31;0;Fatec Guarulhos;2022;2;NOITE;0;0;0;66,275;85,033
0;208;0;Logística Aeroportuária;31;0;Fatec Guarulhos;2022;2;MANHÃ;0;0;0;39,268;89,750
0;194;0;Análise e Desenvolvimento de Sistemas;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;NOITE;0;0;0;78,650;93,790
