cod_curso;nome_curso;cod_instituicao;nome_instituicaoano;semestre;periodo;qtde_vagas;qtde_inscrito;demanda;nota_corte;nota_maxima
245;Gestão Empresarial;41;Fatec Bragança Paulista - Jornalista Omair Fagundes de Oliveira;2022;2;EaD;20;96;4.80;65.175;87.175
187;Gestão Financeira;41;Fatec Bragança Paulista - Jornalista Omair Fagundes de Oliveira;2022;2;Noite;40;65;1.63;47.460;73.250
179;Logística;41;Fatec Bragança Paulista - Jornalista Omair Fagundes de Oliveira;2022;2;Noite;40;71;1.78;40.150;76.450
194;Análise e Desenvolvimento de Sistemas;60;Fatec Campinas;2022;2;Manhã;40;263;6.58;76.250;100.000
97;Gestão da Tecnologia da Informação;60;Fatec Campinas;2022;2;Noite;40;203;5.08;70.500;97.900
264;Gestão de Energia e Eficiência Energética;60;Fatec Campinas;2022;2;Noite;40;96;2.40;57.200;100.000
245;Gestão Empresarial;60;Fatec Campinas;2022;2;Manhã;40;69;1.73;49.500;89.925
225;Processos Químicos;60;Fatec Campinas;2022;2;Noite;40;126;3.15;68.930;93.500
225;Processos Químicos;60;Fatec Campinas;2022;2;Manhã;40;59;1.48;47.300;99.275
247;Agroindústria;34;Fatec Capão Bonito;2022;2;Manhã;40;63;1.58;27.225;87.750
245;Gestão Empresarial;34;Fatec Capão Bonito;2022;2;EaD;20;49;2.45;55.825;84.150
127;Silvicultura;34;Fatec Capão Bonito;2022;2;Noite;40;66;1.65;36.025;88.550
194;Análise e Desenvolvimento de Sistemas;23;Fatec Carapicuíba;2022;2;Manhã;40;288;7.20;73.450;89.100
194;Análise e Desenvolvimento de Sistemas;23;Fatec Carapicuíba;2022;2;Noite;40;709;17.73;78.925;96.333
265;Design de Mídias Digitais;23;Fatec Carapicuíba;2022;2;Manhã;40;105;2.63;58.195;91.530
245;Gestão Empresarial;23;Fatec Carapicuíba;2022;2;EaD;20;214;10.70;73.150;97.075
199;Jogos Digitais;23;Fatec Carapicuíba;2022;2;Manhã;40;50;1.25;44.200;83.600
199;Jogos Digitais;23;Fatec Carapicuíba;2022;2;Noite;40;62;1.55;47.500;77.825
179;Logística;23;Fatec Carapicuíba;2022;2;Manhã;40;82;2.05;47.750;95.975
179;Logística;23;Fatec Carapicuíba;2022;2;Noite;40;174;4.35;61.500;90.118
165;Secretariado;23;Fatec Carapicuíba;2022;2;Noite;40;66;1.65;46.250;100.000
92;Automação Industrial;42;Fatec Catanduva;2022;2;Noite;40;77;1.93;46.200;89.250
97;Gestão da Tecnologia da Informação;42;Fatec Catanduva;2022;2;Noite;40;115;2.88;60.250;89.650
245;Gestão Empresarial;42;Fatec Catanduva;2022;2;Manhã;40;53;1.33;29.150;76.450
245;Gestão Empresarial;42;Fatec Catanduva;2022;2;Noite;40;112;2.80;61.585;100.000
270;Ciência de Dados;58;Fatec Cotia;2022;2;Noite;40;134;3.35;63.800;97.625
275;Desenvolvimento de Software Multiplataforma;58;Fatec Cotia;2022;2;Noite;40;190;4.75;70.950;96.800
94;Gestão da Produção Industrial;58;Fatec Cotia;2022;2;Manhã;40;69;1.73;26.555;81.925
94;Gestão da Produção Industrial;58;Fatec Cotia;2022;2;Noite;40;108;2.70;52.263;71.500
245;Gestão Empresarial;58;Fatec Cotia;2022;2;Manhã;40;74;1.85;49.500;78.795
245;Gestão Empresarial;58;Fatec Cotia;2022;2;Noite;40;157;3.93;62.998;93.790
194;Análise e Desenvolvimento de Sistemas;19;Fatec Cruzeiro - Prof. Waldomiro May;2022;2;Manhã;40;101;2.53;60.775;90.475
163;Eventos;19;Fatec Cruzeiro - Prof. Waldomiro May;2022;2;Noite;40;38;0.95;26.675;74.863
